target,horizon,mae,rmse,nrmse,baseline_mae,baseline_rmse
load,1,4.142351063965386,5.9829167594068995,0.12714330624261172,4.928012711024785,7.188557097687337
load,2,5.788249222684535,7.931399838278946,0.16855063159375602,6.294297800674103,8.734006498970707
load,3,6.952478530133178,9.167908058545859,0.19482773850381235,7.387008920539741,9.869050776242712
load,4,7.707918294299664,9.93896111597524,0.21121343112704788,8.186913701157804,10.703238766545843
load,5,8.265113849355727,10.409913875062418,0.22122167514620086,8.69044167155921,11.146065724270679
load,6,8.603365834853,10.703884527348936,0.22746886229137356,9.003640091309089,11.432426315728963
load,7,8.860282041124618,10.865703188661023,0.23090767991801417,9.261344256545561,11.624697009913746
load,8,8.879695951869431,10.754759376308362,0.2285500066163593,9.24001547921157,11.571040326311065
load,9,8.553992266245565,10.365993337803884,0.22028831729691742,8.864106626284777,11.190925158847648
load,10,7.864427418896546,9.646416620450825,0.20499655132079464,8.187347415083838,10.512431701093758
load,11,6.863842902169194,8.68130876860702,0.18448698916263911,7.305867693042059,9.60939446614558
load,12,6.362799386040779,8.170925515446974,0.17364080545874602,6.8508622818903255,9.150265538998
load,13,6.781603804769286,8.625082356638178,0.18329211846606164,7.237681906477199,9.54164581169689
load,14,7.626178384240294,9.455080290944668,0.20093045203912083,8.081141131543331,10.391897829766954
load,15,8.29930585054947,10.14689384760887,0.21563222149955147,8.741587806151607,11.06376430345932
load,16,8.592020402243497,10.55454817880068,0.22429530700719363,9.045614087492261,11.36443445332914
load,17,8.650845039090903,10.735519189777325,0.22814113231196012,9.096777823091621,11.478304747976736
load,18,8.518438766072077,10.703446806211275,0.22745956025444197,8.938228204900774,11.407867195073758
load,19,8.31847720996628,10.562014580446698,0.22445397593560842,8.70765810444493,11.189667552618964
load,20,7.965725339512312,10.239966617599396,0.2176101162578477,8.30965575344602,10.835179777012184
load,21,7.313567909760887,9.585676064968322,0.20370575030222524,7.526120819402529,10.06535046987056
load,22,6.3037072823033045,8.631591395537537,0.18343044242399154,6.509390458167419,9.054838956179408
load,23,4.94218011487399,7.183582471416969,0.1526587219597164,5.266611511202945,7.730806049635649
load,24,4.150490487938667,6.4532113965386,0.137137564474448,4.473363027479889,6.838458560510075
pv,1,0.048966112863499965,0.08445660142710543,0.09423540990335282,0.0,0.0
pv,2,0.09445933288889583,0.15653521661190742,0.17465964829836253,0.0,0.0
pv,3,0.13718228872135732,0.21857028268812623,0.2438774451466013,0.0,0.0
pv,4,0.17585206164489878,0.26920746296394776,0.3003776518682816,0.0,0.0
pv,5,0.21224149088210367,0.31108821414694615,0.34710756626338707,0.0,0.0
pv,6,0.24383881738166785,0.34333104890427063,0.3830836379790481,0.0,0.0
pv,7,0.27087474786454585,0.3669358295970801,0.40942149845032855,0.0,0.0
pv,8,0.2917143447525669,0.38211418863880703,0.42635728395185535,0.0,0.0
pv,9,0.3043227642802682,0.3893634182350264,0.43444586567240756,0.0,0.0
pv,10,0.3125174061183863,0.39327444208216505,0.43880972745643876,0.0,0.0
pv,11,0.31561457256512154,0.39402672296182945,0.4396491111855936,0.0,0.0
pv,12,0.31708987179895515,0.3944366166677083,0.44010646443847856,0.0,0.0
pv,13,0.31458789168702644,0.39293246578702984,0.438428155432408,0.0,0.0
pv,14,0.311909386696415,0.3923504718311062,0.43777877530023357,0.0,0.0
pv,15,0.30364020994797053,0.38847738406543497,0.43345724202725777,0.0,0.0
pv,16,0.2907863621316822,0.37919755894165674,0.4231029522548302,0.0,0.0
pv,17,0.26883812161698845,0.36303626989529786,0.40507042818784333,0.0,0.0
pv,18,0.243731413442894,0.34075482219370556,0.3802091228319568,0.0,0.0
pv,19,0.2133349882624984,0.31027771862322495,0.3462032275070067,0.0,0.0
pv,20,0.18136374156127322,0.2731005358134053,0.3047214841981781,0.0,0.0
pv,21,0.14448521134325096,0.22505102717036343,0.25110856269624154,0.0,0.0
pv,22,0.10613702210528574,0.1721634670259827,0.19209741584947276,0.0,0.0
pv,23,0.07015314227555848,0.11970676215336655,0.13356701085659914,0.0,0.0
pv,24,0.04903816315305502,0.09488578784259255,0.1058721397766258,0.0,0.0
